Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,cell_type,Normalized_Name
4767971310_sort.swc,3782,201421000.0,5,210,424,215,166050.0,92670.0,66759,472.031,1198690.0,2183990000.0,938000000000.0,163652.0,192329.0,73,0.925739,7.91745,0.852754,102.706,94.8667,1.27249,pyramidal neuron,4767971310
31266555120_sort.swc,61019,132713000.0,3,4919,9863,4945,713570.0,544220.0,109362,434.753,18329600.0,25508200000.0,6150000000000.0,432902.0,675039.0,471,0.936091,5.18656,0.84603,100.492,94.7548,1.95305,pyramidal neuron,31266555120
6094632627_sort.swc,20256,117767000.0,3,1151,2305,1155,593920.0,514910.0,173811,580.245,6284210.0,11940600000.0,4440000000000.0,491041.0,637875.0,182,0.922429,7.78742,0.845,101.85,95.0318,1.68393,pyramidal neuron,6094632627
4201160848_sort.swc,35072,256072000.0,5,2235,4479,2245,750400.0,746178.0,174438,451.73,10762600.0,16171900000.0,4490000000000.0,745098.0,841900.0,217,0.925573,6.8301,0.813081,99.8076,93.8158,1.83922,interneuron,4201160848
31390442922_sort.swc,10085,200169000.0,5,449,902,454,315330.0,399550.0,118899,554.303,3176180.0,6063870000.0,2370000000000.0,329431.0,396233.0,64,0.932415,10.1796,0.825513,104.628,94.5707,1.36108,pyramidal neuron,31390442922
30398946901_sort.swc,16733,480757000.0,7,976,1959,984,369890.0,289120.0,118899,527.416,5250690.0,9311150000.0,2860000000000.0,234124.0,355276.0,137,0.923748,7.54109,0.818368,102.693,94.9562,1.45393,pyramidal neuron,30398946901
33562780125_sort.swc,5173,109670000.0,3,62,125,64,196420.0,280830.0,115038,680.737,1672130.0,3908040000.0,1810000000000.0,204365.0,256856.0,11,0.932567,40.376,0.898482,103.93,82.1659,1.36584,pyramidal neuron,33562780125
6282109481_sort.swc,37954,279967000.0,6,2058,4124,2067,593820.0,412480.0,174174,422.496,11728900.0,16554300000.0,4600000000000.0,335849.0,491754.0,143,0.925224,8.20296,0.823847,100.338,92.8506,1.67731,interneuron,6282109481
4742522079_sort.swc,47790,700873000.0,6,3600,7216,3617,487330.0,722628.0,115302,376.238,14544700.0,17818000000.0,3310000000000.0,536022.0,598316.0,250,0.927452,5.62264,0.790134,101.167,94.8501,1.93892,pyramidal neuron,4742522079
5394895507_sort.swc,49408,123701000.0,3,3463,6936,3474,694530.0,649120.0,142923,481.191,15004300.0,23222200000.0,6720000000000.0,525370.0,633019.0,290,0.926643,6.12327,0.839089,100.584,95.7361,1.7661,excitatory/spiny neuron with atypical tree,5394895507
3256359220_sort.swc,76964,162049000.0,4,6221,12486,6266,527460.0,444964.0,174141,373.966,23126800.0,27405300000.0,5370000000000.0,377432.0,545366.0,467,0.930131,5.16394,0.840466,100.634,95.4973,1.90949,excitatory/spiny neuron with atypical tree,3256359220
