Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
4402961771.swc,7007,1197520.0,1,236,421,240,425536.0,421184.0,173679,588.391,2198750.0,4225420000.0,1794940000000.0,387250.0,473267.0,45,0.931093,13.7862,0.83061,90.2549,82.0032,1.38553,4402961771
4403311738.swc,8027,54739.1,1,348,699,353,367520.0,219744.0,174042,522.973,2497370.0,4281340000.0,1700840000000.0,246435.0,381008.0,60,0.924062,10.4421,0.822428,101.171,92.5377,1.48178,4403311738
4407604164.swc,5514,26552.7,1,47,91,49,149248.0,158624.0,52866,449.809,1769450.0,2601970000.0,1190900000000.0,164815.0,240670.0,13,0.915654,55.9121,0.875895,92.5082,81.106,1.36999,4407604164
4420832450.swc,73135,115812.0,1,5460,9324,5516,886752.0,773376.0,174174,448.37,22063000.0,31734800000.0,8431360000000.0,637821.0,528458.0,260,0.926044,5.72051,0.828093,85.6333,80.6786,1.89633,4420832450
4422673293.swc,2926,51471.9,1,59,119,60,156480.0,332608.0,107382,667.545,934638.0,2062500000.0,973529000000.0,273826.0,361482.0,21,0.939455,23.5798,0.923932,107.497,97.0925,1.16416,4422673293
446295770.swc,11809,64339.8,1,887,1782,896,329152.0,362176.0,54714,471.216,3574450.0,5456400000.0,1482350000000.0,300587.0,485960.0,371,0.932554,5.62233,0.815055,99.5924,95.6256,1.49631,446295770
4466228092.swc,8599,54739.1,1,709,1421,713,227808.0,179104.0,67056,448.186,2578020.0,3747060000.0,1177950000000.0,194893.0,294983.0,205,0.933999,5.04363,0.825961,99.5655,96.1676,1.38542,4466228092
44713738678.swc,5447,12868.0,1,461,797,488,159072.0,153440.0,89397,529.587,1643380.0,2994310000.0,1500900000000.0,167660.0,246810.0,101,0.926509,5.0138,0.830444,89.6919,83.8926,1.43213,44713738678
4492524209.swc,12613,119079.0,1,743,1486,751,289632.0,373248.0,174075,524.201,3868000.0,6621440000.0,2884170000000.0,272235.0,384362.0,116,0.93224,7.42127,0.805494,100.36,94.4363,1.54983,4492524209
44946464250.swc,2069,78024.6,1,99,193,102,147168.0,86080.0,44451,562.92,640802.0,1208450000.0,507688000000.0,103138.0,140353.0,44,0.933928,7.88083,0.82022,99.7506,97.2521,1.25572,44946464250
45021732268.swc,2340,55905700.0,1,43,87,45,50176.0,154944.0,77715,513.471,742646.0,1209250000.0,478784000000.0,111738.0,202985.0,18,0.927349,25.6552,0.827211,111.67,93.1392,1.21956,45021732268
4510001632.swc,4143,985518.0,1,48,89,51,426400.0,234496.0,52965,519.39,1327430.0,2226540000.0,801239000000.0,452489.0,544593.0,19,0.929114,44.1236,0.89554,103.769,88.731,1.25261,4510001632
45297180456.swc,3442,25735.9,1,49,99,50,172768.0,127488.0,72798,535.69,1091170.0,1902540000.0,969857000000.0,161159.0,266398.0,23,0.91625,33.7576,0.93084,110.505,103.073,1.3461,45297180456
4535435815.swc,33574,64339.8,1,2280,4563,2292,402528.0,448256.0,174141,467.378,10219600.0,15888800000.0,5920930000000.0,271730.0,482651.0,205,0.926455,6.34736,0.82433,99.8016,95.0086,1.64839,4535435815
4553993534.swc,22835,25735.9,1,2046,2848,2070,239488.0,445664.0,83160,401.938,6790980.0,8927850000.0,2761370000000.0,435921.0,421040.0,309,0.932382,4.73455,0.835364,70.2547,66.8931,1.7636,4553993534
4562286906.swc,4049,54739.1,1,198,353,201,274272.0,170176.0,62040,816.523,1278750.0,3649970000.0,3133800000000.0,171327.0,294296.0,60,0.926955,9.07082,0.824276,96.2408,87.9231,1.34042,4562286906
45661139181.swc,2023,65156.6,1,65,96,74,56960.0,96128.0,74448,609.131,633316.0,1281970000.0,885912000000.0,76679.5,126691.0,13,0.933119,18.8646,0.868055,74.473,74.3024,1.21407,45661139181
4639395307.swc,13378,65156.6,1,822,1236,838,526592.0,284288.0,174141,474.245,4092610.0,6255710000.0,1872510000000.0,344443.0,548483.0,309,0.930223,7.41343,0.864719,74.8485,70.1415,1.57367,4639395307
46401044849.swc,6868,136031.0,1,438,497,444,115648.0,121920.0,89199,401.406,2099060.0,2786050000.0,1185730000000.0,102691.0,172276.0,67,0.948143,10.507,0.889685,57.9286,53.216,1.26582,46401044849
4646609246.swc,21982,12868.0,1,1387,2734,1399,318592.0,556128.0,173943,500.026,6711950.0,11005300000.0,4758850000000.0,472735.0,551988.0,155,0.927782,6.89868,0.837959,99.0604,92.8572,1.52093,4646609246
46695400625.swc,9085,106211.0,1,500,941,509,202592.0,202624.0,69234,363.936,2800280.0,3239790000.0,739311000000.0,164212.0,466332.0,142,0.922115,8.35069,0.81737,96.1511,90.4817,1.4653,46695400625
4679607351.swc,2819,12868.0,1,96,169,101,124704.0,175648.0,54978,381.238,888735.0,1190130000.0,492863000000.0,113413.0,214731.0,37,0.932356,13.9112,0.900326,92.3649,87.9181,1.15114,4679607351
46796381629.swc,2459,78024.6,1,63,121,67,150080.0,127744.0,77220,498.448,771645.0,1244900000.0,518309000000.0,133421.0,206666.0,18,0.926522,15.4959,0.904121,95.124,83.3188,1.19758,46796381629
4692543081.swc,36625,2393640.0,1,2041,4038,2055,569984.0,509504.0,174042,605.887,11322200.0,22224100000.0,8460710000000.0,448859.0,640208.0,149,0.922357,7.92051,0.850071,99.6433,92.3416,1.68083,4692543081
4698632261.swc,2309,26552.7,1,60,121,61,224928.0,138176.0,53130,760.123,736147.0,1829020000.0,980538000000.0,236423.0,303741.0,30,0.93965,18.0744,0.975672,112.664,104.588,1.19126,4698632261
4698865343.swc,5538,116628.0,1,88,179,91,440544.0,199008.0,53955,374.372,1754760.0,2134490000.0,853456000000.0,447882.0,546223.0,32,0.912578,29.933,0.830903,104.867,93.1693,1.24438,4698865343
47024624888.swc,4131,3134270.0,1,48,83,51,241984.0,327296.0,84942,615.17,1346160.0,2831690000.0,1744820000000.0,271821.0,301787.0,14,0.923677,40.1325,0.915088,82.1785,81.7176,1.39781,47024624888
4734375693.swc,5128,2239840.0,1,283,531,291,161664.0,242720.0,173976,840.467,1594950.0,4462360000.0,2213270000000.0,200204.0,238178.0,58,0.919506,7.9209,0.929604,97.3914,91.0755,1.42137,4734375693
47419858875.swc,4127,39420.7,1,88,163,93,92992.0,120000.0,90255,453.391,1317210.0,2015630000.0,848901000000.0,118108.0,227449.0,20,0.919787,20.8098,0.896311,99.128,86.8835,1.31398,47419858875
4748276275.swc,8646,106211.0,1,398,783,404,188256.0,296256.0,47718,788.155,2708250.0,7222710000.0,5057080000000.0,186204.0,291994.0,71,0.924054,9.95019,0.861127,103.834,92.8579,1.44754,4748276275
4750201988.swc,23333,1409960.0,1,1684,2943,1752,471616.0,387552.0,173976,576.126,7085590.0,13381900000.0,6013360000000.0,436537.0,551823.0,245,0.922779,5.9616,0.872025,90.1659,86.7531,1.76126,4750201988
4754042804.swc,5788,12868.0,1,121,239,124,231872.0,154048.0,67023,481.629,1836190.0,2960500000.0,1255680000000.0,183238.0,337967.0,28,0.921066,23.046,0.86267,103.334,92.3606,1.23152,4754042804
4768789561.swc,13213,102944.0,1,275,551,277,415072.0,505728.0,117018,452.462,4179150.0,6201050000.0,2221590000000.0,458269.0,527110.0,39,0.923384,22.2341,0.830394,104.958,96.0707,1.55531,4768789561
47801966010.swc,6104,115812.0,1,128,257,129,288096.0,241920.0,73854,388.907,1925270.0,2431300000.0,667643000000.0,191095.0,348474.0,32,0.923117,22.7471,0.881345,107.281,92.6618,1.28158,47801966010
4795962497.swc,39274,64339.8,1,2278,4460,2301,587360.0,501280.0,174009,577.959,12101000.0,23013600000.0,12917800000000.0,356647.0,646487.0,265,0.926505,7.63946,0.835013,98.5348,91.0682,1.66388,4795962497
4798954957.swc,7906,13684.8,1,302,593,308,489312.0,415808.0,66627,579.918,2468340.0,4548480000.0,1378630000000.0,490343.0,586508.0,95,0.934088,11.9292,0.842043,102.539,94.7466,1.2872,4798954957
4801364808.swc,28507,106211.0,1,2347,4614,2381,312384.0,259296.0,98241,503.998,8558470.0,13769600000.0,4474030000000.0,332115.0,483849.0,371,0.931625,5.03858,0.878353,99.111,94.2777,1.78618,4801364808
4801918585.swc,3230,80475.0,1,109,219,112,240640.0,118304.0,58212,682.371,1037020.0,2499790000.0,1905930000000.0,130657.0,201807.0,25,0.928579,13.1872,0.8813,101.176,94.0046,1.24323,4801918585
48036080108.swc,4366,54739.1,1,305,547,324,150560.0,124448.0,49566,476.764,1330710.0,2125480000.0,1036000000000.0,155408.0,214218.0,42,0.928857,6.36563,0.839718,94.4347,89.7675,1.44716,48036080108
48123700017.swc,1776,12868.0,1,150,288,160,72032.0,67232.0,14520,618.316,544327.0,1162150000.0,800747000000.0,82051.2,118292.0,31,0.933742,4.58333,0.874928,100.694,91.6599,1.49448,48123700017
4815162127.swc,50002,78024.6,1,4303,6776,4352,621888.0,483840.0,163350,501.55,15006700.0,24680300000.0,9829410000000.0,595204.0,638338.0,474,0.93207,4.81567,0.839476,79.5583,75.4515,1.78692,4815162127
4815600679.swc,16433,80475.0,1,659,1321,665,502144.0,399328.0,173250,482.279,5101860.0,7832080000.0,2084690000000.0,368260.0,570767.0,104,0.922781,11.4307,0.843143,101.892,92.2794,1.61531,4815600679
4838990553.swc,16813,65156.6,1,801,1442,815,408288.0,402304.0,173910,503.564,5221170.0,8591130000.0,2980100000000.0,424180.0,784374.0,151,0.920449,9.8509,0.8208,92.5744,85.4126,1.63568,4838990553
4842057459.swc,17347,1238990.0,1,1101,1806,1119,445344.0,172160.0,174207,515.618,5297380.0,8649370000.0,2135410000000.0,348586.0,529696.0,166,0.924259,7.00443,0.843248,83.9215,79.2347,1.68583,4842057459
4856891767.swc,92414,1609920.0,1,7755,15227,7817,823168.0,681280.0,174207,438.931,27762600.0,39203600000.0,14676100000000.0,689676.0,884037.0,516,0.926911,4.93367,0.817977,98.0511,92.6029,2.13256,4856891767
48660841450.swc,2495,51471.9,1,68,137,69,146496.0,103040.0,56628,291.814,788765.0,778699000.0,313863000000.0,94345.3,167749.0,24,0.923975,17.2044,0.851996,108.929,103.199,1.36111,48660841450
4866923326.swc,14081,119079.0,1,1078,1606,1103,340288.0,388736.0,174009,397.038,4255320.0,5648800000.0,2093960000000.0,326729.0,426444.0,61,0.940988,5.45019,0.853176,77.0782,71.689,1.43133,4866923326
4888824688.swc,3661,51471.9,1,53,103,55,376288.0,319424.0,53526,602.504,1159890.0,2229340000.0,838575000000.0,324082.0,432874.0,25,0.916737,34.2913,0.929291,101.596,90.5536,1.32884,4888824688
4901672517.swc,15312,26552.7,1,1145,2014,1153,251584.0,376288.0,173910,465.75,4652450.0,6939330000.0,1685190000000.0,302756.0,725591.0,362,0.930332,5.74677,0.814185,88.9746,83.7627,1.63278,4901672517
4915850339.swc,20406,65156.6,1,721,1443,726,671392.0,543808.0,174207,519.994,6402020.0,10910900000.0,3480000000000.0,710792.0,871869.0,128,0.92496,13.1261,0.804146,103.952,93.1765,1.70301,4915850339
4916229733.swc,21265,115812.0,1,1056,1968,1062,837120.0,365376.0,173976,474.274,6571270.0,10103800000.0,3786770000000.0,736742.0,957011.0,259,0.924125,9.06657,0.815638,95.6874,88.7887,1.53253,4916229733
4932947926.swc,7584,119079.0,1,631,1260,637,222496.0,210112.0,57222,399.472,2272290.0,2929620000.0,751878000000.0,157054.0,266347.0,220,0.929499,4.97619,0.822054,100.261,95.8886,1.56792,4932947926
49379737299.swc,5329,123163.0,1,255,511,259,291456.0,222016.0,89331,978.187,1678230.0,5519900000.0,3734590000000.0,204258.0,460904.0,101,0.924493,9.34834,0.900409,103.566,96.5907,1.41875,49379737299
4943635792.swc,55009,115812.0,1,3967,6690,3998,949376.0,574528.0,174207,429.115,16639900.0,23105300000.0,7183550000000.0,653486.0,863241.0,422,0.925034,5.97429,0.827942,84.3491,80.4484,1.97076,4943635792
4974268764.swc,63347,65156.6,1,4589,9009,4628,519904.0,714528.0,174009,486.343,19157400.0,30138800000.0,10138900000000.0,549080.0,862299.0,289,0.930646,5.88267,0.854278,98.7638,93.6966,2.0075,4974268764
5003339404.swc,59990,65156.6,1,4719,8613,4745,788576.0,637728.0,173844,455.506,18008100.0,26121100000.0,6702700000000.0,758396.0,1081710.0,708,0.931289,5.36468,0.848274,91.7147,87.8513,1.99252,5003339404
5004887956.swc,23993,65156.6,1,1588,2453,1624,363840.0,332192.0,115269,590.696,7379650.0,14090900000.0,5167380000000.0,253401.0,464366.0,182,0.922958,6.67998,0.864634,79.519,74.2217,1.56917,5004887956
5018627299.swc,62553,4178580.0,1,5482,7911,5551,399776.0,417376.0,144705,421.576,18651900.0,24944800000.0,6232920000000.0,269750.0,475642.0,418,0.934675,4.54127,0.835454,72.0063,68.2361,1.73797,5018627299
5025067360.swc,101059,67607.1,1,8081,14370,8132,734784.0,848928.0,174471,437.067,30499600.0,42665500000.0,12780000000000.0,903208.0,1077060.0,383,0.930963,5.23424,0.815999,88.7935,84.535,1.98956,5025067360
5032293103.swc,25269,64339.8,1,1999,3991,2017,442368.0,382240.0,174075,448.585,7589710.0,10975100000.0,2671540000000.0,348384.0,572069.0,279,0.927635,5.27788,0.853083,101.164,95.8115,1.7405,5032293103
5033154591.swc,86812,65156.6,1,7427,11874,7521,727904.0,550752.0,173877,443.735,25946000.0,36308300000.0,8392420000000.0,586708.0,745778.0,589,0.933508,4.76234,0.838287,79.2661,75.7455,1.9369,5033154591
5034731826.swc,1681,67607.1,1,37,73,40,98944.0,118080.0,53262,477.219,534986.0,820727000.0,365096000000.0,137623.0,211161.0,19,0.90592,20.6575,0.838858,100.079,97.1495,1.29829,5034731826
5043653022.swc,9886,476115.0,1,149,299,151,584256.0,398688.0,173778,715.276,3140470.0,7320520000.0,4020820000000.0,688366.0,898560.0,47,0.924022,32.0301,0.898344,101.664,94.0411,1.32704,5043653022
5045244161.swc,35338,1075390.0,1,1980,404,2028,780128.0,507616.0,174240,582.323,10916400.0,20709300000.0,8904870000000.0,655619.0,564917.0,110,0.926256,10.6163,0.841227,10.5455,9.813,1.6481,5045244161
50495457121.swc,5466,13358600.0,1,44,89,45,536672.0,413088.0,54978,573.715,1755090.0,3308530000.0,1437610000000.0,458411.0,663233.0,24,0.932003,60.4045,0.91976,106.878,102.286,1.37792,50495457121
5055801374.swc,19032,2595220.0,1,1309,2435,1329,387008.0,450528.0,174042,565.526,5797130.0,10775600000.0,3861390000000.0,344395.0,507381.0,178,0.923737,6.33676,0.842677,94.5612,87.8167,1.50325,5055801374
5057641324.swc,15114,26552.7,1,460,911,466,588832.0,648672.0,172524,742.392,4758010.0,11497300000.0,6361680000000.0,594490.0,785996.0,96,0.928793,15.2492,0.904225,103.52,93.4503,1.42362,5057641324
5058999466.swc,7766,78024.6,1,367,686,373,385024.0,282944.0,162393,440.651,2423010.0,3634660000.0,1433920000000.0,407315.0,674511.0,166,0.920766,9.62974,0.833651,96.4551,86.244,1.51659,5058999466
5078316467.swc,12749,51471.9,1,1077,292,1087,246496.0,280512.0,58938,401.207,3802200.0,5018270000.0,2019380000000.0,264479.0,87682.2,88,0.93619,4.35959,0.808693,13.3622,13.1116,1.48386,5078316467
5089310405.swc,8455,106211.0,1,536,991,541,226176.0,257536.0,143418,494.299,2587900.0,4313090000.0,1968440000000.0,252846.0,320804.0,128,0.929401,6.84359,0.847213,92.4028,87.9476,1.5092,5089310405
5098627119.swc,43359,12868.0,1,2739,5269,2776,622720.0,617632.0,173877,557.707,13292700.0,24469300000.0,10048300000000.0,465355.0,669006.0,204,0.934651,6.90795,0.834858,97.5765,91.3855,1.92578,5098627119
5114905708.swc,34863,26552.7,1,2168,4121,2184,354880.0,448480.0,174075,510.822,10647400.0,17821500000.0,7952540000000.0,401375.0,497618.0,145,0.920083,7.06261,0.827373,96.8276,90.9295,1.82766,5114905708
5116146849.swc,97444,25735.9,1,7409,11826,7519,839040.0,694176.0,174108,458.56,29519400.0,43257600000.0,12224100000000.0,601789.0,841750.0,366,0.925956,5.632,0.827671,80.3306,75.9166,1.97148,5116146849
5116555602.swc,12745,65156.6,1,137,275,139,452800.0,350944.0,174405,623.716,4065960.0,8316800000.0,4836940000000.0,274592.0,400744.0,22,0.932675,45.3018,0.910835,106.001,95.0422,1.54916,5116555602
5131011976.swc,18355,12868.0,1,1265,2507,1290,351776.0,487264.0,174075,533.35,5619620.0,9568120000.0,2939090000000.0,364750.0,509236.0,183,0.923001,6.23494,0.829758,101.608,94.2275,1.49191,5131011976
5144808371.swc,31812,64339.8,1,1154,2299,1165,652864.0,473568.0,174108,597.812,9936200.0,19155000000.0,7804960000000.0,363714.0,690722.0,88,0.926663,12.7877,0.844812,101.581,92.5757,1.60623,5144808371
5150590615.swc,27607,78024.6,1,2147,3819,2167,519040.0,361280.0,101310,376.576,8277990.0,9921130000.0,2226270000000.0,357832.0,591128.0,279,0.932161,5.49777,0.828597,89.8301,84.4516,1.75996,5150590615
5160796796.swc,28549,115812.0,1,1388,187,1400,565088.0,407104.0,174042,576.828,8865400.0,16581600000.0,7479850000000.0,387788.0,168611.0,57,0.93298,7.20321,0.848279,6.95471,6.43706,1.64111,5160796796
