Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,cell_type,Normalized_Name
3675948724_reconnect.swc,69091,77590200.0,3,5435,10892,5458,572710.0,526400.0,174207,422.433,20801200.0,28583900000.0,7924090000000.0,383966.0,533821.0,228,0.925526,5.34319,0.819026,101.26,95.1953,2.06304,,3675948724
36868870834_reconnect.swc,17364,103421000.0,3,990,1983,994,432032.0,513664.0,107415,386.998,5345320.0,6678390000.0,1335470000000.0,364448.0,419358.0,137,0.929992,7.75593,0.79692,101.973,94.8046,1.45912,,36868870834
36923682435_reconnect.swc,37810,181844000.0,3,2652,5312,2661,654630.0,416480.0,174042,449.271,11454500.0,16831000000.0,4986770000000.0,465079.0,573316.0,279,0.931941,6.11766,0.854838,100.119,95.8515,1.86153,,36923682435
3705078190_reconnect.swc,16197,23017000.0,4,944,1893,950,517886.0,585348.0,173580,475.939,4958470.0,7521580000.0,1598940000000.0,603263.0,676860.0,226,0.927129,7.55573,0.837712,101.043,94.785,1.50888,,3705078190
3706288942_reconnect.swc,55162,169574000.0,5,3513,7036,3524,1053030.0,834492.0,174438,523.445,16879100.0,28724700000.0,9740510000000.0,817919.0,955217.0,409,0.928672,6.83982,0.838117,100.63,94.5613,1.96185,,3706288942
37189156964_reconnect.swc,21100,170700000.0,4,1676,3357,1682,240990.0,388096.0,114180,387.295,6350320.0,8043310000.0,1606420000000.0,270888.0,326645.0,137,0.932171,5.28508,0.824609,101.742,96.0002,1.55957,,37189156964
3720218112_reconnect.swc,17528,92998400.0,4,1158,2321,1164,518464.0,588444.0,174372,438.476,5346120.0,7581410000.0,1580400000000.0,552873.0,651822.0,294,0.924045,6.55149,0.862584,102.485,95.4863,1.4794,,3720218112
37259183281_reconnect.swc,8368,171837000.0,6,96,196,101,386752.0,327360.0,114081,417.798,2720040.0,3844530000.0,745904000000.0,225851.0,272175.0,14,0.931089,41.6888,0.894827,106.033,93.8539,1.49877,,37259183281
37418042190_reconnect.swc,20484,159446000.0,4,1217,2438,1222,424380.0,429088.0,113916,458.908,6301080.0,9505780000.0,2568700000000.0,341373.0,406909.0,132,0.924773,7.40156,0.834275,101.841,94.8594,1.71193,,37418042190
3747639071_reconnect.swc,1683,33105500.0,5,56,116,61,72770.0,172926.0,49995,457.607,540518.0,869738000.0,321582000000.0,151773.0,215460.0,16,0.916168,13.5,0.836357,107.348,97.9209,1.1973,,3747639071
3752880740_reconnect.swc,6382,109523000.0,4,508,1021,514,160290.0,225600.0,55473,411.661,1936650.0,2721900000.0,741416000000.0,160371.0,208674.0,174,0.931169,5.24976,0.821682,102.866,96.1526,1.51133,,3752880740
37537055220_reconnect.swc,634,70546500.0,4,12,26,15,46210.0,55520.0,32769,617.512,219549.0,542980000.0,277702000000.0,61214.1,67955.3,7,0.926937,23.3462,0.838222,105.769,99.7333,1.20457,,37537055220
37581618185_reconnect.swc,5673,126749000.0,6,179,364,186,206910.0,277280.0,109692,314.167,1816160.0,2051640000.0,470201000000.0,172789.0,263859.0,24,0.935295,14.5824,0.925169,105.904,99.0015,1.479,,37581618185
37650549056_reconnect.swc,2384,104844000.0,4,50,102,53,76860.0,93760.0,70224,418.731,790059.0,1184760000.0,389050000000.0,63932.4,74385.4,10,0.92574,22.3627,0.857033,105.65,85.6995,1.14594,,37650549056
3776666669_reconnect.swc,10641,77679500.0,3,510,1021,512,384350.0,416732.0,173976,489.1,3295220.0,5278420000.0,1526790000000.0,381974.0,430000.0,106,0.924884,9.42116,0.820336,102.103,92.3738,1.37483,,3776666669
3776681321_reconnect.swc,20526,85896800.0,3,1053,2109,1057,501820.0,516932.0,173448,440.589,6329680.0,9000140000.0,1889480000000.0,441199.0,507743.0,147,0.921481,8.7321,0.835593,100.576,92.4221,1.50375,,3776681321
37869286154_reconnect.swc,3477,165580000.0,2,66,133,68,287640.0,409664.0,87879,466.277,1123690.0,1769920000.0,456284000000.0,367656.0,403071.0,19,0.918532,25.1353,0.874751,111.75,89.4314,1.28282,,37869286154
37888926140_reconnect.swc,2177,84182600.0,3,95,191,97,79104.0,135072.0,73260,364.043,688685.0,894257000.0,203795000000.0,89278.9,104218.0,23,0.920909,10.3927,0.879945,105.199,97.9041,1.22883,,37888926140
3792960497_reconnect.swc,48300,566854000.0,9,3277,6570,3294,578270.0,437760.0,174438,423.92,14819700.0,20589300000.0,4373930000000.0,321429.0,442001.0,184,0.926675,6.35145,0.815147,100.004,94.218,1.76624,,3792960497
38028627294_reconnect.swc,7182,71985900.0,4,303,608,306,265470.0,312988.0,114345,498.216,2246650.0,3704440000.0,1275740000000.0,279747.0,325869.0,56,0.921503,10.8109,0.802745,103.551,92.4233,1.31466,,38028627294
