Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
32179116600.swc,4163,64339.8,1,128,255,130,142432.0,174944.0,118503,568.718,1311100.0,2530320000.0,1329130000000.0,135226.0,257923.0,44,0.934911,15.1294,0.846557,104.159,95.9355,1.37221,32179116600
32210114296.swc,3964,142364.0,1,101,203,102,207008.0,138368.0,119361,422.764,1246980.0,1812350000.0,721257000000.0,165191.0,244103.0,24,0.914197,18.5222,0.888083,107.759,95.7976,1.38566,32210114296
32252734098.swc,6886,54739.1,1,277,555,278,313152.0,255392.0,122067,514.123,2143740.0,3520250000.0,784231000000.0,220934.0,385064.0,70,0.923738,11.4054,0.851384,101.456,92.5479,1.29456,32252734098
32281775445.swc,7592,1043110.0,1,405,811,407,284224.0,466976.0,122100,460.505,2335010.0,3458700000.0,965826000000.0,348776.0,466256.0,120,0.924074,8.35758,0.843525,100.792,92.2543,1.29707,32281775445
32312145279.swc,11067,119079.0,1,561,1071,574,763328.0,446272.0,123981,647.546,3433680.0,7106650000.0,2355170000000.0,702775.0,988847.0,251,0.921362,9.13632,0.852757,97.4171,89.8806,1.36525,32312145279
32341857892.swc,51782,64339.8,1,4485,8958,4522,572416.0,411008.0,119163,409.162,15385200.0,19980500000.0,4248040000000.0,469227.0,619805.0,454,0.93692,4.74883,0.840042,99.3584,94.5525,1.90094,32341857892
32368754431.swc,19637,106211.0,1,1351,2709,1362,288640.0,386432.0,122100,522.61,5999940.0,10017900000.0,3376060000000.0,301602.0,481143.0,172,0.926354,6.24179,0.835177,100.477,94.8494,1.53499,32368754431
32400788503.swc,31625,148899.0,1,2646,5300,2666,354080.0,468064.0,108801,457.922,9469820.0,14076200000.0,5111930000000.0,467268.0,584792.0,510,0.93243,4.96019,0.849451,100.517,94.9818,1.86236,32400788503
32587549631.swc,5580,64339.8,1,180,360,185,449088.0,503296.0,118833,715.848,1755740.0,4116920000.0,1928070000000.0,622089.0,765886.0,80,0.928719,14.4639,0.844996,102.175,97.4165,1.35856,32587549631
32600968913.swc,3052,51471.9,1,57,115,58,166592.0,189440.0,115731,651.57,970689.0,2098840000.0,1174780000000.0,157682.0,243142.0,17,0.938047,25.5304,0.89976,109.673,95.2387,1.28468,32600968913
