Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
32735911718_sort.swc,40551,389312000.0,7,2854,5721,2868,803010,520510,118866,448.443,12358100,18091800000,3996020000000.0,618286.0,729666.0,318,0.928498,6.08792,0.835908,101.397,95.4575,1.69297,32735911718
3282845962_sort.swc,40339,243609000.0,5,2765,5544,2780,795080,1010340,172227,440.686,12305500,17612300000,4314810000000.0,820355.0,965682.0,371,0.929044,6.27597,0.824344,100.756,94.9789,1.87983,3282845962
3284788369_sort.swc,7297,123371000.0,3,356,713,358,286010,243518,112134,478.484,2266620,3634910000,973140000000.0,185816.0,230420.0,66,0.926881,9.23282,0.801936,103.653,93.8332,1.43558,3284788369
32891265616_sort.swc,46746,469190000.0,6,3461,6938,3478,614270,550560,122067,513.287,14232600,24123700000,7176660000000.0,341056.0,464199.0,246,0.921673,5.73753,0.852361,101.533,95.352,1.7272,32891265616
32967307849_sort.swc,21660,59418400.0,4,1471,2949,1479,689990,462040,119493,408.439,6571750,8663730000,1787130000000.0,559290.0,657099.0,298,0.926263,6.34452,0.834824,101.696,96.187,1.53048,32967307849
32979937437_sort.swc,22647,145045000.0,4,811,1624,814,809630,339240,116325,503.442,7102160,11670700000,3031740000000.0,651413.0,770659.0,128,0.923721,12.9446,0.845129,102.68,94.3967,1.49114,32979937437
3300381294_sort.swc,19864,52504600.0,3,1554,3112,1559,331200,550428,161568,398.796,5964930,7701830000,1432470000000.0,473012.0,552955.0,259,0.933462,5.38271,0.834073,100.333,94.6289,1.67196,3300381294
3301564762_sort.swc,15021,86334400.0,3,1143,2288,1146,351520,291484,54648,521.964,4550520,7723520000,2165880000000.0,293661.0,369698.0,255,0.928429,5.56469,0.863013,102.407,96.0774,1.51838,3301564762
33042285281_sort.swc,29331,393510000.0,9,1917,3849,1933,367870,509824,117414,542.259,9067090,16889800000,6565910000000.0,327569.0,417051.0,171,0.933955,6.62016,0.832478,100.827,94.7987,1.59641,33042285281
33140577971_sort.swc,27920,547716000.0,6,1479,2966,1488,875810,317500,115929,595.092,8731730,17523500000,6510220000000.0,671109.0,794218.0,210,0.925591,8.41301,0.834524,101.723,94.3763,1.7724,33140577971
3315377266_sort.swc,27421,110245000.0,6,2269,4555,2287,349470,424284,174075,391.22,8234990,10448100000,2179110000000.0,303682.0,375623.0,244,0.930282,5.01976,0.826401,101.234,95.8835,1.78604,3315377266
33169807889_sort.swc,13884,187808000.0,6,514,1032,519,943680,530530,121836,444.464,4376490,6495390000,1373120000000.0,719742.0,823187.0,117,0.92195,12.4525,0.821079,103.198,92.119,1.56829,33169807889
33184336456_sort.swc,18930,128503000.0,4,935,1874,940,637980,252730,119526,407.345,5853720,7655610000,1352080000000.0,474182.0,559961.0,163,0.921859,9.10085,0.829674,103.455,94.1699,1.68206,33184336456
33185023430_sort.swc,15336,136216000.0,4,1044,2092,1049,466050,269020,115830,439.358,4662660,6717780000,1548880000000.0,320869.0,453132.0,206,0.927688,6.33031,0.84783,101.479,95.8839,1.66908,33185023430
33214502422_sort.swc,13278,171875000.0,4,625,1252,628,632610,332260,115269,486.237,4127270,6499060000,1480390000000.0,448844.0,552047.0,121,0.929045,9.60463,0.8329,99.9399,93.0838,1.59953,33214502422
33272278093_sort.swc,31407,145203000.0,4,1736,3478,1743,2011270,718850,124146,593.127,9725760,18470000000,5153200000000.0,1838120.0,2219000.0,767,0.91978,8.0299,0.853302,101.811,94.2147,1.62244,33272278093
