Layer,Boundary,Soma_X,Soma_Y
layer_2,left,2.088197025160112,0.420768
layer_2,right,2.6478940529527293,0.420768
layer_2,left,2.0881813580050537,0.4208
layer_2,right,2.647943067600741,0.4208
layer_2,left,2.0880089191351057,0.421152
layer_2,right,2.648482128183855,0.421152
layer_2,left,2.087993233501516,0.421184
layer_2,right,2.648531124377977,0.421184
layer_2,left,2.08794616692052,0.42128
layer_2,right,2.6486781034180567,0.42128
layer_2,left,2.08789908561482,0.421376
layer_2,right,2.6488250679524015,0.421376
layer_2,left,2.08777346154554,0.421632
layer_2,right,2.6492169003246304,0.421632
layer_2,left,2.0875061350480895,0.422176
layer_2,right,2.6500491661255534,0.422176
layer_2,left,2.0874903933372213,0.422208
layer_2,right,2.6500981057722672,0.422208
layer_2,left,2.087395902721126,0.4224
layer_2,right,2.650391700682413,0.4224
layer_2,left,2.0873328699000036,0.422528
layer_2,right,2.6505873882227062,0.422528
layer_2,left,2.0872698051755125,0.422656
layer_2,right,2.6507830402258796,0.422656
layer_2,left,2.087190928609128,0.422816
layer_2,right,2.651027552939503,0.422816
layer_2,left,2.0871435779400813,0.422912
layer_2,right,2.6511742314524573,0.422912
layer_2,left,2.08703301962499,0.423136
layer_2,right,2.651516391523247,0.423136
layer_2,left,2.0869065388808172,0.423392
layer_2,right,2.651907266642149,0.423392
layer_2,left,2.0867007070899297,0.423808
layer_2,right,2.652542019430311,0.423808
layer_2,left,2.0866214394065326,0.423968
layer_2,right,2.6527860017316875,0.423968
layer_2,left,2.0861605279362885,0.424896
layer_2,right,2.6541990547980845,0.424896
layer_2,left,2.086112731228555,0.424992
layer_2,right,2.6543450009425524,0.424992
layer_2,left,2.0860489673954232,0.42512
layer_2,right,2.6545395176852615,0.42512
layer_2,left,2.0856975340356505,0.425824
layer_2,right,2.65560755684414,0.425824
layer_2,left,2.0856174848841493,0.425984
layer_2,right,2.6558498098439323,0.425984
layer_2,left,2.085505301671543,0.426208
layer_2,right,2.6561886196089226,0.426208
layer_2,left,2.085356222076712,0.426528
layer_2,right,2.656564225145274,0.426528
layer_2,left,2.085260179140596,0.42672
layer_2,right,2.6568527256220995,0.42672
layer_2,left,2.084867707734589,0.42752
layer_2,right,2.6579759188240786,0.42752
layer_2,left,2.0846582860097063,0.427968
layer_2,right,2.658515866702677,0.427968
layer_2,left,2.0844659116381545,0.428416
layer_2,right,2.658923219573766,0.428416
layer_2,left,2.0839291243133866,0.429536
layer_2,right,2.660392632508069,0.429536
layer_2,left,2.083753755690314,0.429888
layer_2,right,2.660896518491285,0.429888
layer_2,left,2.083410302676141,0.430624
layer_2,right,2.661780779840988,0.430624
layer_2,left,2.083168662619484,0.431168
layer_2,right,2.6623536845571936,0.431168
layer_2,left,2.083136879902852,0.431232
layer_2,right,2.662442228504272,0.431232
layer_2,left,2.083089180526905,0.431328
layer_2,right,2.6625748033260486,0.431328
layer_2,left,2.082932193048296,0.431648
layer_2,right,2.6630011432649696,0.431648
layer_2,left,2.082907041175924,0.431712
layer_2,right,2.6630484758383552,0.431712
layer_2,left,2.0828592891875095,0.431808
layer_2,right,2.663179420661637,0.431808
layer_2,left,2.0826360525287653,0.432256
layer_2,right,2.66378599767281,0.432256
layer_2,left,2.0826248383120065,0.432288
layer_2,right,2.6638020889145366,0.432288
layer_2,left,2.0825130745631815,0.432512
layer_2,right,2.6641020784366076,0.432512
layer_2,left,2.0824491397742593,0.43264
layer_2,right,2.6642725593005827,0.43264
layer_2,left,2.082417153647246,0.432704
layer_2,right,2.664357534876813,0.432704
layer_2,left,2.0820645209921693,0.433408
layer_2,right,2.665279856317979,0.433408
layer_2,left,2.0820377562559305,0.433472
layer_2,right,2.6653355042822153,0.433472
layer_2,left,2.082011031676107,0.433536
layer_2,right,2.665390970846806,0.433536
layer_2,left,2.0819468654809263,0.433664
layer_2,right,2.665555262463664,0.433664
layer_2,left,2.0817862854842817,0.433984
layer_2,right,2.6659622265554708,0.433984
layer_2,left,2.0817541435484097,0.434048
layer_2,right,2.666042957508334,0.434048
layer_2,left,2.0816898362779006,0.434176
layer_2,right,2.6662037422029043,0.434176
layer_2,left,2.081624974380636,0.434368
layer_2,right,2.6662958720428835,0.434368
layer_2,left,2.0815929707349623,0.434432
layer_2,right,2.6663753255224387,0.434432
layer_2,left,2.0815609609718924,0.434496
layer_2,right,2.666454548329111,0.434496
layer_2,left,2.0814969247102635,0.434624
layer_2,right,2.6666122958934664,0.434624
layer_2,left,2.0814648990607405,0.434688
layer_2,right,2.666690817855666,0.434688
layer_2,left,2.0813925396625046,0.43488
layer_2,right,2.666818640038396,0.43488
layer_2,left,2.0812928284236034,0.435104
layer_2,right,2.667036451965149,0.435104
layer_2,left,2.080969874458818,0.435904
layer_2,right,2.667666614000488,0.435904
layer_2,left,2.080850190539611,0.436224
layer_2,right,2.6678795457434097,0.436224
layer_2,left,2.08081891283154,0.436288
layer_2,right,2.6679525826679336,0.436288
layer_2,left,2.080411814393101,0.437184
layer_2,right,2.668834180464759,0.437184
layer_2,left,2.080268404105064,0.437536
layer_2,right,2.6691119200858164,0.437536
layer_2,left,2.080072205239517,0.438016
layer_2,right,2.669491945450844,0.438016
layer_2,left,2.080028268796959,0.438144
layer_2,right,2.6695626597209814,0.438144
layer_2,left,2.0800164780759776,0.438176
layer_2,right,2.669583311180107,0.438176
layer_2,left,2.0799744083419536,0.438272
layer_2,right,2.6696694647381776,0.438272
layer_2,left,2.0797759795344324,0.438752
layer_2,right,2.6700560374932447,0.438752
layer_2,left,2.0796819128048267,0.438976
layer_2,right,2.6702409886473757,0.438976
layer_2,left,2.0796670489068787,0.439008
layer_2,right,2.670272301540317,0.439008
layer_2,left,2.079652197388508,0.43904
layer_2,right,2.6703035463486517,0.43904
layer_2,left,2.0795357349245074,0.43936
layer_2,right,2.670505967332686,0.43936
layer_2,left,2.0793908600143145,0.439808
layer_2,right,2.6707308038188846,0.439808
layer_2,left,2.079290116006952,0.440032
layer_2,right,2.6709384715253806,0.440032
layer_2,left,2.0792041841599715,0.440256
layer_2,right,2.6710971390152776,0.440256
