Filename,Soma_X,Soma_Y,Soma_Z,LCC_Node_Proportion,C3 agglomeration id,Cell type,Cell body layer, E count all inputs, I count all inputs, E count layer 1, I count layer 1, E count layer 2, I count layer 2, E count layer 3, I count layer 3, E count layer 4, I count layer 4, E count layer 5, I count layer 5, E count layer 6, I count layer 6, E count white matter, I count white matter,Soma_x,Soma_y,Soma_z,new_label
29440524730,1973220.0,985088.0,122001.0,,29440524730,interneuron,layer_4,1733,865,0,0,0,0,579,306,879,490,275,69,0,0,0,0,,,,layer_4
4772337487,3372320.0,1410460.0,44385.0,,4772337487,interneuron,layer_2,297,408,10,10,287,398,0,0,0,0,0,0,0,0,0,0,,,,layer_2
3776680612,2059780.0,1140830.0,71709.0,,3776680612,pyramidal neuron,layer_4,717,245,0,0,0,0,189,60,453,159,75,26,0,0,0,0,,,,layer_4
2659981075,2910720.0,1006080.0,41448.0,,2659981075,pyramidal neuron,layer_2,7682,2305,302,106,6214,1958,1166,241,0,0,0,0,0,0,0,0,,,,layer_2
3312223382,2179740.0,1114980.0,74481.0,,3312223382,pyramidal neuron,layer_3,1509,524,0,0,61,36,915,322,533,166,0,0,0,0,0,0,,,,layer_3
722253083,2604450.0,613024.0,27555.0,,722253083,pyramidal neuron,layer_2,545,259,58,34,487,225,0,0,0,0,0,0,0,0,0,0,,,,layer_2
39125776042,3022880.0,1157120.0,86955.0,,39125776042,interneuron,layer_2,475,340,0,0,380,283,95,57,0,0,0,0,0,0,0,0,,,,layer_2
1434621263,2435300.0,673312.0,71544.0,,1434621263,pyramidal neuron,layer_2,2272,582,37,25,1515,442,720,115,0,0,0,0,0,0,0,0,,,,layer_2
4903148229,3345180.0,1414560.0,65505.0,,4903148229,excitatory/spiny neuron with atypical tree,layer_2,634,300,121,35,513,265,0,0,0,0,0,0,0,0,0,0,,,,layer_2
36634888242,2589310.0,568960.0,97218.0,,36634888242,unclassified neuron,layer_2,320,327,87,100,233,227,0,0,0,0,0,0,0,0,0,0,,,,layer_2
29877298634,1853410.0,1051650.0,158466.0,,29877298634,excitatory/spiny neuron with atypical tree,layer_4,247,69,0,0,0,0,0,0,190,59,57,10,0,0,0,0,,,,layer_4
40393725234,3336800.0,1511070.0,77286.0,,40393725234,pyramidal neuron,layer_2,67,75,0,0,67,75,0,0,0,0,0,0,0,0,0,0,,,,layer_2
2191348298,2306750.0,794240.0,16566.0,,2191348298,interneuron,layer_3,206,184,0,0,16,17,190,167,0,0,0,0,0,0,0,0,,,,layer_3
5034643836,3418340.0,1471970.0,8382.0,,5034643836,unclassified neuron,layer_2,278,303,162,132,116,171,0,0,0,0,0,0,0,0,0,0,,,,layer_2
4989293485,2841630.0,1761540.0,29832.0,,4989293485,pyramidal neuron,layer_3,9296,2797,52,17,921,261,8189,2499,134,20,0,0,0,0,0,0,,,,layer_3
