Filename,Soma_X,Soma_Y,Soma_Z,LCC_Node_Proportion,C3 agglomeration id,Cell type,Cell body layer old, E count all inputs, I count all inputs, E count layer 1, I count layer 1, E count layer 2, I count layer 2, E count layer 3, I count layer 3, E count layer 4, I count layer 4, E count layer 5, I count layer 5, E count layer 6, I count layer 6, E count white matter, I count white matter,Soma_x,Soma_y,Soma_z,Cell body layer
28872735088,1928860,912288,153978,,28872735088,interneuron,layer_3,2206,848,0,0,0,0,1368,558,838,290,0,0,0,0,0,0,,,,layer_3
4319925653,3084960,1442270,12573,,4319925653,pyramidal neuron,layer_2,2850,1175,27,7,2288,938,535,230,0,0,0,0,0,0,0,0,,,,layer_2
6599141753,1622980,1809760,160578,,6599141753,excitatory/spiny neuron with atypical tree,layer_6,309,296,0,0,0,0,0,0,0,0,0,0,299,289,10,7,,,,layer_6
32222554780,2292670,1584190,81312,,32222554780,interneuron,layer_5,397,145,0,0,0,0,0,0,0,0,397,145,0,0,0,0,,,,layer_5
5195255512,3557090,1534430,41877,,5195255512,interneuron,layer_1,43,98,43,98,0,0,0,0,0,0,0,0,0,0,0,0,,,,layer_1
29353677252,2034660,897888,121836,,29353677252,interneuron,layer_3,1849,700,0,0,0,0,1312,484,472,180,65,36,0,0,0,0,,,,layer_3
4203087677,2972000,1228100,90849,,4203087677,pyramidal neuron,layer_2,4413,1527,433,179,2165,822,1815,526,0,0,0,0,0,0,0,0,,,,layer_2
5195825649,2647650,711040,130944,,5195825649,interneuron,layer_1,295,253,295,253,0,0,0,0,0,0,0,0,0,0,0,0,,,,layer_2
29294543266,1754240,960512,101673,,29294543266,unclassified neuron,layer_4,420,203,0,0,0,0,2,0,390,197,28,6,0,0,0,0,,,,layer_4
2525330586,2140350,874272,115929,,2525330586,pyramidal neuron,layer_3,4935,1256,0,0,190,54,4437,1149,307,53,1,0,0,0,0,0,,,,layer_3
4335110357,3252510,1323810,74580,,4335110357,pyramidal neuron,layer_2,935,377,0,0,935,377,0,0,0,0,0,0,0,0,0,0,,,,layer_2
5406401210,1740510,1538620,168795,,5406401210,unclassified neuron,layer_5,162,95,0,0,0,0,0,0,0,0,162,95,0,0,0,0,,,,layer_5
5892044711,3053630,1590530,140646,,5892044711,pyramidal neuron,layer_3,5187,1489,0,0,198,58,4989,1431,0,0,0,0,0,0,0,0,,,,layer_3
48371084867,3287460,1331740,94083,,48371084867,pyramidal neuron,layer_2,300,128,1,0,299,128,0,0,0,0,0,0,0,0,0,0,,,,layer_2
15543554616,3097920,1900770,69069,,15543554616,pyramidal neuron,layer_3,1943,784,0,0,353,105,1590,679,0,0,0,0,0,0,0,0,,,,layer_3
2774950343,2579300,1001150,21648,,2774950343,interneuron,layer_3,655,234,0,0,18,4,637,230,0,0,0,0,0,0,0,0,,,,layer_3
6271962479,3373220,1783140,3762,,6271962479,interneuron,layer_2,90,101,0,0,90,101,0,0,0,0,0,0,0,0,0,0,,,,layer_2
2598131608,2195460,946944,47157,,2598131608,interneuron,layer_3,462,132,0,0,0,0,462,132,0,0,0,0,0,0,0,0,,,,layer_3
5020365260,3402370,1507900,9801,,5020365260,interneuron,layer_2,745,416,299,142,446,274,0,0,0,0,0,0,0,0,0,0,,,,layer_2
401514872,2473570,381120,18018,,401514872,interneuron,layer_2,193,80,0,0,193,80,0,0,0,0,0,0,0,0,0,0,,,,layer_2
721815933,2476030,506176,39732,,721815933,interneuron,layer_2,490,229,0,0,490,229,0,0,0,0,0,0,0,0,0,0,,,,layer_2
678378039,2525700,400672,47355,,678378039,excitatory/spiny neuron with atypical tree,layer_2,46,28,0,0,46,28,0,0,0,0,0,0,0,0,0,0,,,,layer_2
30922643423,1216130,1278980,162096,,30922643423,pyramidal neuron,layer_6,1520,829,0,0,0,0,0,0,0,0,608,278,906,550,6,1,,,,layer_6
50598790227,3427650,1808740,91113,,50598790227,unclassified neuron,layer_2,76,51,0,0,76,51,0,0,0,0,0,0,0,0,0,0,,,,layer_2
5303740368,1450020,1499740,122496,,5303740368,pyramidal neuron,layer_6,2201,784,0,0,0,0,0,0,0,0,453,101,1716,672,32,11,,,,layer_6
39874880159,1152990,1303940,128403,,39874880159,interneuron,layer_6,218,105,0,0,0,0,0,0,0,0,0,0,218,105,0,0,,,,layer_6
5524974760,3279780,1767100,97779,,5524974760,interneuron,layer_4,26,23,0,0,0,0,0,0,8,12,18,11,0,0,0,0,,,,layer_2
36298948727,2350240,458080,170115,,36298948727,pyramidal neuron,layer_2,1350,475,0,0,1143,425,207,50,0,0,0,0,0,0,0,0,,,,layer_2
5364977088,2431520,1638400,48180,,5364977088,spiny stellate neuron,layer_4,2140,724,0,0,0,0,299,112,739,337,1102,275,0,0,0,0,,,,layer_4
37420743412,3322270,884672,135465,,37420743412,interneuron,layer_2,2357,867,0,0,1234,451,1123,416,0,0,0,0,0,0,0,0,,,,layer_1
37684890293,3021920,860928,107316,,37684890293,interneuron,layer_2,642,240,194,82,448,158,0,0,0,0,0,0,0,0,0,0,,,,layer_2
39241911972,2932130,1224770,119262,,39241911972,interneuron,layer_3,1794,610,0,0,452,183,1342,427,0,0,0,0,0,0,0,0,,,,layer_3
31169692626,1111680,1515420,130845,,31169692626,pyramidal neuron,layer_6,3072,920,0,0,0,0,0,0,0,0,785,211,1576,510,711,199,,,,layer_6
87229997993,1296800,2093730,166881,,87229997993,interneuron,white_matter,8,5,0,0,0,0,0,0,0,0,0,0,0,0,8,5,,,,white_matter
86160444244,3072350,1860100,152361,,86160444244,pyramidal neuron,layer_3,11,25,0,0,0,0,11,25,0,0,0,0,0,0,0,0,,,,layer_3
33795489840,2325220,2131870,169059,,33795489840,pyramidal neuron,layer_5,870,607,0,0,0,0,0,0,0,0,870,607,0,0,0,0,,,,layer_5
39403063876,3129730,1163620,115896,,39403063876,pyramidal neuron,layer_2,924,288,30,10,894,278,0,0,0,0,0,0,0,0,0,0,,,,layer_2
37626413608,3001500,939424,126225,,37626413608,spiny stellate neuron,layer_2,969,368,141,72,828,296,0,0,0,0,0,0,0,0,0,0,,,,layer_2
6368722617,2228100,1920190,56331,,6368722617,pyramidal neuron,layer_5,1349,438,0,0,0,0,0,0,118,24,1213,400,18,14,0,0,,,,layer_5
3912631107,3118340,1224990,18249,,3912631107,interneuron,layer_2,355,171,0,0,355,171,0,0,0,0,0,0,0,0,0,0,,,,layer_2
4169360004,2003390,1265540,147444,,4169360004,pyramidal neuron,layer_5,894,428,0,0,0,0,0,0,176,70,718,358,0,0,0,0,,,,layer_5
29049261027,2022560,1170270,109857,,29049261027,pyramidal neuron,layer_4,534,293,0,0,0,0,133,70,275,188,126,35,0,0,0,0,,,,layer_4
4546051784,1380990,1259900,75933,,4546051784,pyramidal neuron,layer_5,2686,678,0,0,0,0,0,0,129,31,2076,568,481,79,0,0,,,,layer_5
1346358430,2139580,653568,45045,,1346358430,pyramidal neuron,layer_3,398,179,0,0,0,0,398,179,0,0,0,0,0,0,0,0,,,,layer_2
5000113046,2119360,1488290,67617,,5000113046,interneuron,layer_5,276,313,0,0,0,0,0,0,0,0,276,313,0,0,0,0,,,,layer_5
