Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Cluster
29556470767_sort.swc,7424,157.736,4,272,546,275,338.2,533.088,104.28,0.51672,2373.55,4097.52,1205.18,374.117,414.597,60,0.968168,12.5952,0.790098,102.785,94.3737,1.09274,4
29590052356_sort.swc,35934,179.462,5,5423,10867,5445,1019.59,828.834,119.262,0.624948,10924.4,21936.6,6692.03,743.418,839.044,430,0.98168,2.30662,0.830327,99.8579,96.4435,1.21807,1
29629052274_sort.swc,12005,210.303,5,577,1159,583,442.08,664.448,113.256,0.660496,3847.89,8589.59,3403.09,426.381,546.318,79,0.968739,9.3572,0.799319,101.841,94.3767,1.12245,4
29629402820_sort.swc,7655,225.918,6,640,1284,645,318.18,551.102,114.279,0.606664,2440.64,4933.67,1374.66,339.358,395.257,135,0.969789,4.96106,0.839801,102.684,96.2814,1.12748,3
29674739276_sort.swc,26915,242.666,6,2878,5766,2889,694.36,945.41,120.846,0.511097,8372.93,13989.3,3683.92,817.603,975.359,341,0.975462,3.66771,0.824808,101.143,97.0659,1.20857,1
29692989917_sort.swc,25595,87.8628,3,4898,9822,4925,402.4,384.158,106.062,0.605858,7630.01,14513.3,3822.8,255.012,339.599,318,0.982313,1.60578,0.83982,99.4735,97.3319,1.18212,2
29717067370_sort.swc,10498,124.331,5,818,1643,826,426.02,492.516,114.807,0.543801,3300.15,5898.29,1475.98,453.539,516.774,142,0.969646,5.38892,0.832634,101.698,94.7541,1.13349,0
29722732207_sort.swc,10124,191.216,6,1411,2828,1418,319.68,483.586,105.501,0.466667,3114.14,4647.38,849.594,344.61,414.784,191,0.977121,2.57956,0.79914,101.046,97.1886,1.15254,3
29750940884_sort.swc,10841,160.385,5,1860,3726,1867,348.71,445.314,91.377,0.468189,3270.72,5051.42,1129.13,317.227,398.053,273,0.982241,1.90929,0.825604,100.889,98.2661,1.12705,3
29820077191_sort.swc,15954,82.4991,5,1105,2215,1111,467.93,584.286,115.104,0.494498,4993.34,7948.37,1768.52,429.831,515.96,135,0.968899,6.20226,0.830798,101.984,94.4528,1.15291,0
29822953036_sort.swc,23644,281.348,5,3128,6278,3151,613.67,730.754,116.193,0.485976,7226.88,11208.0,2236.69,517.136,613.335,387,0.981609,2.76601,0.802065,101.591,97.6194,1.1857,2
29890556491_sort.swc,9133,140.4,4,618,1238,621,365.34,478.908,113.784,0.502901,2896.23,4801.89,1091.68,367.854,441.107,106,0.971957,6.37641,0.814444,100.982,93.7234,1.08166,0
29892556984_sort.swc,16234,336.62,5,1542,3089,1548,514.28,713.376,114.477,0.515324,5079.99,8481.48,1842.9,591.076,661.581,241,0.976203,4.2551,0.818685,100.251,95.3634,1.13467,0
29907303758_sort.swc,10209,82.8447,4,943,1888,946,695.49,652.604,117.678,0.666015,3196.84,6826.48,1896.9,828.282,942.839,328,0.976166,4.40678,0.838167,100.196,94.7278,1.11663,0
29919437456_sort.swc,7409,184.505,5,449,901,453,322.08,510.848,114.873,0.674739,2370.72,5398.46,2312.02,408.913,462.708,83,0.966393,7.22198,0.800876,102.316,95.4411,1.08429,4
29919816804_sort.swc,17572,537.199,11,742,1494,753,396.89,649.922,115.434,0.628085,5681.65,12028.1,3451.55,394.688,453.636,52,0.967822,10.761,0.820525,101.421,92.4298,1.15626,4
29950756061_sort.swc,12060,150.376,3,922,1850,929,582.6,682.948,123.222,0.459841,3791.59,5735.92,1289.69,652.994,749.311,187,0.969931,5.51838,0.80496,101.648,95.4134,1.10887,0
29951851152_sort.swc,31153,541.631,8,2962,5935,2974,874.24,986.076,122.001,0.513192,9717.44,16207.2,3693.57,869.973,1010.88,301,0.976909,4.24886,0.823237,102.044,96.9915,1.19688,1
