UMAP1,UMAP2,label
10.566435,11.722813,interneuron
11.551756,10.411089,interneuron
9.644998,14.431643,interneuron
8.414977,11.379371,interneuron
8.031005,10.819434,interneuron
10.951963,11.923576,interneuron
8.399717,11.669939,interneuron
8.924019,10.91292,interneuron
9.070616,11.292416,interneuron
12.152358,10.609105,interneuron
8.2203245,10.157941,interneuron
-1.7587298,8.965285,interneuron
11.621265,10.467697,interneuron
11.981463,10.270853,interneuron
8.578894,10.475765,interneuron
10.474276,9.379094,interneuron
8.656333,13.6567,interneuron
11.42488,12.167722,interneuron
11.368784,11.952645,interneuron
11.050598,12.02589,interneuron
8.946035,10.407759,interneuron
8.880024,10.5789995,interneuron
11.681542,10.461568,interneuron
8.883292,9.591537,interneuron
10.000817,12.94198,interneuron
9.595101,14.505334,interneuron
9.764189,11.627929,interneuron
12.587691,5.3924775,interneuron
10.450142,11.628282,interneuron
8.9361725,9.626808,interneuron
11.248938,10.819888,interneuron
10.948353,9.559511,interneuron
11.149241,11.666172,interneuron
11.634394,11.677076,interneuron
10.342035,11.108869,interneuron
9.918144,10.6728525,interneuron
12.347268,9.664059,interneuron
10.630314,9.615368,interneuron
9.871494,11.523936,interneuron
10.979248,12.704127,interneuron
8.778042,12.299114,interneuron
7.948109,10.066001,interneuron
11.749141,10.390742,interneuron
11.163398,9.588684,interneuron
9.004826,11.816582,interneuron
10.966273,12.754976,interneuron
-1.9673707,9.145861,interneuron
10.906259,10.339289,interneuron
10.141666,10.123732,interneuron
8.937112,10.754482,interneuron
9.749651,12.797476,interneuron
10.490979,10.337984,interneuron
10.349667,11.533274,interneuron
10.955529,11.782983,interneuron
9.280724,10.092934,interneuron
10.0164995,12.125922,interneuron
10.714947,10.580773,interneuron
10.790879,7.7171493,interneuron
10.336379,10.218057,interneuron
11.81379,10.993336,interneuron
13.243503,5.7602477,interneuron
10.785731,11.337114,interneuron
10.373574,11.916,interneuron
9.498318,11.634647,interneuron
8.324225,10.148258,interneuron
10.815045,9.476218,interneuron
11.0578985,11.478846,interneuron
8.895264,11.95465,interneuron
11.096106,11.478251,interneuron
9.612193,12.725258,interneuron
10.07444,9.405973,interneuron
10.609281,8.598022,interneuron
10.449092,7.7515564,interneuron
10.483822,8.968868,interneuron
11.137345,5.534861,interneuron
10.642266,8.65677,interneuron
8.588115,10.881604,interneuron
9.736125,11.634907,interneuron
9.779161,11.11998,interneuron
9.051715,11.523084,interneuron
12.198202,10.040234,interneuron
8.720819,12.11992,interneuron
8.365371,10.217218,interneuron
10.0774,10.197789,interneuron
10.629219,6.9834027,interneuron
10.520559,11.125212,interneuron
10.476085,9.684012,interneuron
12.033944,10.557029,interneuron
10.063188,6.9316726,interneuron
11.959804,6.667512,interneuron
8.543774,11.046583,interneuron
9.270499,9.632099,interneuron
9.742814,11.234089,interneuron
11.19551,11.579362,interneuron
9.300199,9.574314,interneuron
11.579101,9.780653,interneuron
11.540189,10.325184,interneuron
8.689984,11.461816,interneuron
9.4838705,14.431393,interneuron
10.6592455,8.936752,interneuron
9.812516,10.155789,interneuron
12.272779,9.719935,interneuron
8.572778,9.689691,interneuron
-2.5767124,7.44721,interneuron
12.183308,5.2640758,interneuron
8.654121,10.578446,interneuron
9.416292,10.201879,interneuron
10.961161,8.78496,interneuron
11.977355,10.347887,interneuron
9.699001,11.787456,interneuron
8.034003,9.861014,interneuron
8.28293,11.350861,interneuron
9.673407,11.608691,interneuron
10.999042,9.331215,interneuron
12.174035,10.527403,interneuron
8.441484,10.988753,interneuron
10.419555,12.188457,interneuron
9.219733,12.761684,interneuron
10.570739,9.39241,interneuron
8.214597,11.61017,interneuron
10.984885,9.272567,interneuron
11.20534,9.271513,interneuron
8.635456,11.461974,interneuron
9.395158,11.183691,interneuron
9.873957,11.34923,interneuron
-2.4034035,8.565734,interneuron
10.70629,9.17228,interneuron
