Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Cell type,Cell body layer,predict_layer,level,Cluster
28380564814_sort.swc,21040,63.9315,6,1449,2905,1457,409.89,466.784,124.245,0.378898,6411.2,7871.55,1553.0,392.833,465.464,199,0.926662,6.24234,0.78182,101.064,93.7568,1.2547,pyramidal neuron,layer_2,layer_2,1level,29
28380724502_sort.swc,44870,298.279,8,3303,6622,3320,305.31,517.31,119.559,0.407917,13652.1,18454.3,4560.41,300.556,372.179,247,0.929918,5.77575,0.828475,100.914,95.0927,1.35581,pyramidal neuron,layer_2,layer_2,1level,7
28409167776_sort.swc,68732,186.961,5,5084,10190,5107,990.82,721.508,119.592,0.479563,20929.7,32171.5,8651.51,610.652,993.006,552,0.932705,5.74495,0.832401,100.671,95.0411,1.34629,pyramidal neuron,layer_3,layer_3,1level,6
28424849250_sort.swc,15212,130.725,4,1170,2348,1179,229.86,326.434,103.851,0.344146,4597.52,5199.2,936.196,210.603,264.504,149,0.924545,5.47828,0.80312,100.835,96.0607,1.26766,pyramidal neuron,layer_3,layer_2,1level,29
28425127394_sort.swc,36907,199.505,6,2802,5618,2817,385.53,591.456,115.269,0.383201,11157.0,13922.8,2924.04,397.901,468.814,252,0.931655,5.56924,0.796823,100.926,96.117,1.34714,pyramidal neuron,layer_2,layer_2,1level,29
28437143076_sort.swc,80781,350.644,4,6038,12109,6072,754.72,729.406,118.965,0.438088,24469.3,34461.4,8508.35,582.592,718.852,363,0.929316,5.67107,0.821588,100.955,96.2348,1.35199,pyramidal neuron,layer_3,layer_3,1level,6
28437172895_sort.swc,34724,255.962,7,2511,5029,2519,514.63,611.968,115.269,0.466251,10542.9,16452.8,4536.19,454.122,507.496,172,0.931787,5.90455,0.832618,100.681,94.6881,1.24763,pyramidal neuron,layer_3,layer_3,1level,29
28439903348_sort.swc,20673,226.078,6,1514,3036,1523,315.23,590.436,115.302,0.38889,6302.91,8213.67,1804.99,423.405,601.115,279,0.933654,5.80896,0.818925,98.9676,94.4732,1.28479,pyramidal neuron,layer_2,layer_2,1level,29
28453335352_sort.swc,39343,179.492,4,2873,5759,2887,346.94,550.144,119.427,0.432686,11922.0,16630.2,3724.32,334.318,412.837,184,0.929775,5.83139,0.823941,100.56,95.4928,1.35735,pyramidal neuron,layer_2,layer_2,1level,29
28524588725_sort.swc,47519,407.359,5,3281,6576,3296,620.38,644.9,121.836,0.418425,14514.8,19804.3,4080.05,469.885,533.409,239,0.929936,6.22597,0.799523,101.638,94.9023,1.29352,pyramidal neuron,layer_3,layer_3,1level,7
28524778628_sort.swc,19582,91.3295,5,1134,2274,1141,449.44,630.684,115.269,0.410263,6027.9,8031.09,1987.86,405.846,445.715,175,0.932685,7.61082,0.785002,100.913,95.2701,1.20983,pyramidal neuron,layer_3,layer_3,1level,29
28539934192_sort.swc,55127,278.402,8,4028,8074,4047,683.93,662.466,116.622,0.45051,16806.6,24665.4,6153.46,534.065,646.94,334,0.931242,5.82759,0.814548,100.069,95.0541,1.33334,pyramidal neuron,layer_3,layer_3,1level,7
28541350868_sort.swc,18059,180.416,5,1044,2095,1052,309.76,388.288,116.193,0.408393,5560.09,7574.52,2012.38,240.095,508.657,144,0.930571,7.61957,0.806931,100.731,94.3995,1.16955,pyramidal neuron,layer_2,layer_2,1level,29
28554798405_sort.swc,5008,108.885,10,177,362,186,164.07,195.456,115.137,0.476307,1617.28,2844.86,1009.69,163.894,179.328,32,0.917995,12.8315,0.87817,104.311,99.1478,1.13103,pyramidal neuron,layer_3,layer_3,1level,32
28567646864_sort.swc,34400,339.838,7,2548,5106,2559,358.59,533.57,114.972,0.435177,10494.8,15317.7,4465.62,362.786,420.059,196,0.927771,5.73698,0.811378,101.831,95.6948,1.33494,pyramidal neuron,layer_3,layer_3,1level,29
